*HDR 0000063 depotrepair_CA_20120710.csv 20120710
"2081"|"R8TXWL1"|"L00"|20100727|"40KV5YQ  "|"   "|"T2L 2K8"|"649"|"81"|"N"||"20102275739   "||""||||||"ALBERTA"||20100628
"2081"|"R8YNW85"|"L00"|20100727|"41JPS6C  "|"   "|"E3V 4T3"|"649"|"81"|"N"||"20102275740   "||""||||||"NEW BRUNSWICK"||20100618
"2082"|"L3A0920"|"L00"|20100727|"41JPNW6  "|"   "|"L5R 4A1"|"649"|"81"|"N"||"20102275741   "||""||||||"ONTARIO"||20100630
"2082"|"L3AAB5V"|"L00"|20100727|"DNCPGFB  "|"   "|"K1P 5Y6"|"649"|"81"|"N"||"20102275742   "||""||||||"ONTARIO"||20100715
"2082"|"L3AAE4V"|"L00"|20100727|"41JPRWJ  "|"   "|"L4E 4A3"|"649"|"81"|"N"||"20102275743   "||""||||||"ONTARIO"||20100620
"2082"|"L3ABP7H"|"L00"|20100727|"41JPQKM  "|"   "|"M2N 6L9"|"649"|"81"|"N"||"20102275744   "||""||||||"ONTARIO"||20100624
"2082"|"L3ACB9V"|"L00"|20100727|"40KTWFH  "|"   "|"M4W 3L4"|"649"|"81"|"N"||"20102275745   "||""||||||"ONTARIO"||20100716
"2082"|"L3ADK1N"|"L00"|20100727|"41JPTGM  "|"   "|"V6C 2X8"|"649"|"81"|"N"||"20102275746   "||""||||||"BRITISH COLUMBIA"||20100615
"2082"|"L3AEW0N"|"L00"|20100727|"40KTV2C  "|"   "|"K0K 2T0"|"649"|"81"|"N"||"20102275747   "||""||||||"ONTARIO"||20100721
"2082"|"L3ALY5X"|"L00"|20100727|"41JSWRS  "|"   "|"V5G 4M5"|"649"|"DD"|"N"||"20102275748   "||""||||||"BRITISH COLUMBIA"||20100712
"2082"|"R8EEVD8"|"L00"|20100727|"40KW782  "|"   "|"G9A 0A9"|"649"|"81"|"N"||"20102275749   "||""||||||"QUEBEC"||20100713
"2082"|"R8TPXT6"|"L00"|20100727|"40KV4QQ  "|"   "|"V0N 1Y1"|"649"|"81"|"N"||"20102275750   "||""||||||"BRITISH COLUMBIA"||20100701
